"species","sci_name","GenLength"
"Canyon Wren","Catherpes mexicanus",1.818057318
"Cape May Warbler","Setophaga tigrina",1.889569075
"Carolina Chickadee","Poecile carolinensis",2.486529497
"Carolina Wren","Thryothorus ludovicianus",2.179122367
"Caspian Tern","Hydroprogne caspia",9.749406689
"Cassin's Auklet","Ptychoramphus aleuticus",6.853379493
"Cassin's Finch","Haemorhous cassinii",2.375655281
"Cassin's Kingbird","Tyrannus vociferans",2.724748003
"Cassin's Sparrow","Peucaea cassinii",1.998739509
"Cassin's Vireo","Vireo cassinii",2.30111226
"Cattle Egret","Bubulcus ibis",6.069601865
"Cave Swallow","Petrochelidon fulva",2.668670335
"Cedar Waxwing","Bombycilla cedrorum",2.377284295
"Cerulean Warbler","Setophaga cerulea",1.960813984
"Chestnut-backed Chickadee","Poecile rufescens",2.208218433
"Chestnut-collared Longspur","Calcarius ornatus",2.275903816
"Chestnut-sided Warbler","Setophaga pensylvanica",2.000625124
"Chihuahuan Raven","Corvus cryptoleucus",5.649748724
"Chimney Swift","Chaetura pelagica",3.009395796
"Chipping Sparrow","Spizella passerina",2.539412426
"Chuck-will's-widow","Antrostomus carolinensis",4.055669608
"Chukar","Alectoris chukar",2.271141313
"Cinnamon Teal","Spatula cyanoptera",2.91362668
"Clapper Rail","Rallus crepitans",1.968098426
"Clark's Grebe","Aechmophorus clarkii",4.814294093
"Clark's Nutcracker","Nucifraga columbiana",4.395406084
"Clay-colored Sparrow","Spizella pallida",2.113274944
"Cliff Swallow","Petrochelidon pyrrhonota",2.563576795
"Common Eider","Somateria mollissima",11.21901402
"Common Gallinule","Gallinula galeata",2.561011413
"Common Goldeneye","Bucephala clangula",7.109900304
"Common Grackle","Quiscalus quiscula",4.115782122
"Common Ground-Dove","Columbina passerina",2.931066034
"Common Loon","Gavia immer",11.29641116
"Common Merganser","Mergus merganser",5.050720794
"Common Murre","Uria aalge",14.77223838
"Common Nighthawk","Chordeiles minor",4.585997652
"Common Poorwill","Phalaenoptilus nuttallii",2.767326657
"Common Raven","Corvus corax",7.464649592
"Common Redpoll","Acanthis flammea",2.592005464
"Common Tern","Sterna hirundo",10.39724168
"Common Yellowthroat","Geothlypis trichas",2.538277341
"Connecticut Warbler","Oporornis agilis",1.942642126
"Cooper's Hawk","Accipiter cooperii",5.552181056
"Cordilleran Flycatcher","Empidonax occidentalis",1.95356427
"Costa's Hummingbird","Calypte costae",2.093650257
"Couch's Kingbird","Tyrannus couchii",2.638102132
"Crested Caracara","Caracara cheriway",8.225450423
"Crissal Thrasher","Toxostoma crissale",2.798039596
"Curve-billed Thrasher","Toxostoma curvirostre",2.892583828
"Dark-eyed Junco","Junco hyemalis",2.385897614
"Dickcissel","Spiza americana",2.079148346
"Double-crested Cormorant","Phalacrocorax auritus",7.21950274
"Dovekie","Alle alle",9.847228032
"Downy Woodpecker","Dryobates pubescens",2.534501603
"Dunlin","Calidris alpina",7.199400859
"Dusky Flycatcher","Empidonax oberholseri",2.13714676
"Dusky Grouse","Dendragapus obscurus",4.475357304
"Eared Grebe","Podiceps nigricollis",5.027990321
"Eastern Bluebird","Sialia sialis",2.37074215
"Eastern Kingbird","Tyrannus tyrannus",2.586855542
"Eastern Meadowlark","Sturnella magna",2.6782694
"Eastern Phoebe","Sayornis phoebe",2.326197409
"Eastern Screech-Owl","Megascops asio",3.933060173
"Eastern Towhee","Pipilo erythrophthalmus",2.77244191
"Eastern Whip-poor-will","Antrostomus vociferus",3.696018219
"Eastern Wood-Pewee","Contopus virens",2.33554447
"Emperor Goose","Anser canagicus",8.008237927
"Eurasian Collared-Dove","Streptopelia decaocto",3.455689008
"Eurasian Tree Sparrow","Passer montanus",2.719771587
"European Starling","Sturnus vulgaris",5.650993902
"Evening Grosbeak","Coccothraustes vespertinus",3.098212161
"Ferruginous Hawk","Buteo regalis",6.860257537
"Field Sparrow","Spizella pusilla",2.172682596
"Fish Crow","Corvus ossifragus",5.21193923
"Forster's Tern","Sterna forsteri",7.679346806
"Fox Sparrow","Passerella iliaca",2.565488998
"Franklin's Gull","Leucophaeus pipixcan",7.124439976
"Fulvous Whistling-Duck","Dendrocygna bicolor",2.619713927
"Gadwall","Mareca strepera",3.673352314
"Gambel's Quail","Callipepla gambelii",2.126172625
"Gila Woodpecker","Melanerpes uropygialis",2.646667733
"Gilded Flicker","Colaptes chrysoides",3.274948209
"Glaucous-winged Gull","Larus glaucescens",13.81947507
"Glaucous Gull","Larus hyperboreus",10.6158173
"Glossy Ibis","Plegadis falcinellus",7.246297223
"Golden-crowned Kinglet","Regulus satrapa",1.778840172
"Golden-crowned Sparrow","Zonotrichia atricapilla",2.465744217
"Golden-fronted Woodpecker","Melanerpes aurifrons",2.595243572
"Golden-winged Warbler","Vermivora chrysoptera",2.07904359
"Golden Eagle","Aquila chrysaetos",16.25526957
"Grace's Warbler","Setophaga graciae",2.135095065
"Grasshopper Sparrow","Ammodramus savannarum",2.152036823
"Gray-cheeked Thrush","Catharus minimus",2.310912736
"Gray Catbird","Dumetella carolinensis",3.464713412
"Gray Flycatcher","Empidonax wrightii",1.981054001
"Gray Kingbird","Tyrannus dominicensis",2.892699702
"Gray Partridge","Perdix perdix",1.933238715
"Gray Vireo","Vireo vicinior",2.17768724
"Great-tailed Grackle","Quiscalus mexicanus",3.255220394
"Great Black-backed Gull","Larus marinus",12.51374299
"Great Blue Heron","Ardea herodias",7.44001806
"Great Crested Flycatcher","Myiarchus crinitus",3.336289418
"Great Egret","Ardea alba",6.036657469
"Great Gray Owl","Strix nebulosa",5.974684397
"Great Horned Owl","Bubo virginianus",7.580364415
"Greater Prairie-Chicken","Tympanuchus cupido",2.633883697
"Greater Roadrunner","Geococcyx californianus",3.216720014
"Greater Sage-Grouse","Centrocercus urophasianus",3.822699139
"Greater Scaup","Aythya marila",4.148126497
"Greater White-fronted Goose","Anser albifrons",8.40029148
"Greater Yellowlegs","Tringa melanoleuca",4.856839238
"Green-tailed Towhee","Pipilo chlorurus",2.780343374
"Green-winged Teal","Anas crecca",3.878402736
"Green Heron","Butorides virescens",4.210398689
"Green Jay","Cyanocorax yncas",7.142998682
"Groove-billed Ani","Crotophaga sulcirostris",3.192426485
"Gull-billed Tern","Gelochelidon nilotica",9.747824285
"Gyrfalcon","Falco rusticolus",6.127488041
"Hairy Woodpecker","Dryobates villosus",3.112775309
"Hammond's Flycatcher","Empidonax hammondii",1.968662931
"Harlequin Duck","Histrionicus histrionicus",6.149206491
"Harris's Hawk","Parabuteo unicinctus",6.591665147
"Harris's Sparrow","Zonotrichia querula",2.558526895
"Henslow's Sparrow","Centronyx henslowii",2.04219075
"Hepatic Tanager","Piranga flava",2.250777359
"Hermit Thrush","Catharus guttatus",2.286469271
"Hermit Warbler","Setophaga occidentalis",2.178412242
"Herring Gull","Larus argentatus",14.07477897
"Hoary Redpoll","Acanthis hornemanni",2.592005464
"Hooded Merganser","Lophodytes cucullatus",4.513622284
"Hooded Oriole","Icterus cucullatus",2.519003615
"Hooded Warbler","Setophaga citrina",2.048552778
"Horned Grebe","Podiceps auritus",4.411423392
"Horned Lark","Eremophila alpestris",3.042270207
"House Finch","Haemorhous mexicanus",2.506719457
"House Sparrow","Passer domesticus",3.726344591
"House Wren","Troglodytes aedon",2.13714676
"Hudsonian Godwit","Limosa haemastica",6.29698994
"Hutton's Vireo","Vireo huttoni",2.776791813
"Inca Dove","Columbina inca",2.799722853
"Indigo Bunting","Passerina cyanea",2.777197368
"Juniper Titmouse","Baeolophus ridgwayi",2.336777188
"Kentucky Warbler","Geothlypis formosa",2.197692357
"Killdeer","Charadrius vociferus",3.924036198
"King Eider","Somateria spectabilis",11.365329
"King Rail","Rallus elegans",3.269379405
"Ladder-backed Woodpecker","Dryobates scalaris",2.517709841
"Lapland Longspur","Calcarius lapponicus",2.584916869
"Lark Bunting","Calamospiza melanocorys",2.030157659
"Lark Sparrow","Chondestes grammacus",2.20312474
"Laughing Gull","Leucophaeus atricilla",7.865540035
"Lawrence's Goldfinch","Spinus lawrencei",2.073691654
"Lazuli Bunting","Passerina amoena",2.341236644
"Least Bittern","Ixobrychus exilis",3.135139649
"Least Flycatcher","Empidonax minimus",1.995003415
"Least Sandpiper","Calidris minutilla",3.403927912
"Least Tern","Sternula antillarum",8.372812288
"LeConte's Sparrow","Ammospiza leconteii",1.948327451
"LeConte's Thrasher","Toxostoma lecontei",2.523927773
"Lesser Goldfinch","Spinus psaltria",2.089842577
"Lesser Nighthawk","Chordeiles acutipennis",3.361353004
"Lesser Scaup","Aythya affinis",5.023958311
"Lesser Yellowlegs","Tringa flavipes",4.061051404
"Lewis's Woodpecker","Melanerpes lewis",2.232979572
"Limpkin","Aramus guarauna",3.850647088
"Lincoln's Sparrow","Melospiza lincolnii",2.097614456
"Little Blue Heron","Egretta caerulea",3.463573215
"Loggerhead Shrike","Lanius ludovicianus",2.702084494
"Long-billed Curlew","Numenius americanus",6.748466121
"Long-billed Dowitcher","Limnodromus scolopaceus",3.771513142
"Long-billed Thrasher","Toxostoma longirostre",2.432853404
"Long-eared Owl","Asio otus",4.927442511
"Long-tailed Duck","Clangula hyemalis",6.005650979
"Louisiana Waterthrush","Parkesia motacilla",2.134498512
"Lucy's Warbler","Oreothlypis luciae",2.017240687
"MacGillivray's Warbler","Geothlypis tolmiei",2.409588172
"Magnolia Warbler","Setophaga magnolia",2.125301481
"Mallard","Anas platyrhynchos",4.781012977
"Marbled Godwit","Limosa fedoa",7.439255425
"Marbled Murrelet","Brachyramphus marmoratus",6.559886244
"Marsh Wren","Cistothorus palustris",2.000993233
"McCown's Longspur","Rhynchophanes mccownii",2.508512634
"Merlin","Falco columbarius",3.176692949
"Mew Gull","Larus canus",10.67097076
"Mexican Jay","Aphelocoma wollweberi",5.563176083
"Mississippi Kite","Ictinia mississippiensis",5.087532041
"Monk Parakeet","Myiopsitta monachus",5.477657609
"Mottled Duck","Anas fulvigula",4.552456265
"Mountain Bluebird","Sialia currucoides",2.154883319
"Mountain Chickadee","Poecile gambeli",2.29350444
"Mountain Plover","Charadrius montanus",4.01403855
"Mountain Quail","Oreortyx pictus",2.578428464
"Mourning Dove","Zenaida macroura",5.371662876
"Mourning Warbler","Geothlypis philadelphia",2.123503652
"Mute Swan","Cygnus olor",9.800268867
"Nashville Warbler","Oreothlypis ruficapilla",2.306610575
"Nelson's Sparrow","Ammospiza nelsoni",2.634638554
"Northern Bobwhite","Colinus virginianus",2.258734621
"Northern Cardinal","Cardinalis cardinalis",4.156734357
"Northern Flicker","Colaptes auratus",2.701236365
"Northern Fulmar","Fulmarus glacialis",25.34141952
"Northern Gannet","Morus bassanus",15.03603245
"Northern Goshawk","Accipiter gentilis",7.483527603
"Northern Harrier","Circus hudsonius",4.471506812
"Northern Mockingbird","Mimus polyglottos",3.761658285
"Northern Parula","Setophaga americana",1.916144929
"Northern Pintail","Anas acuta",4.947677081
"Northern Pygmy-Owl","Glaucidium gnoma",2.412193292
"Northern Rough-winged Swallow","Stelgidopteryx serripennis",2.026909388
"Northern Saw-whet Owl","Aegolius acadicus",2.61847962
"Northern Shoveler","Spatula clypeata",4.095844242
"Northern Shrike","Lanius borealis",1.919442
"Northern Waterthrush","Parkesia noveboracensis",2.215035085
"Northwestern Crow","Corvus caurinus",6.003675064
"Nuttall's Woodpecker","Dryobates nuttallii",2.60174637
"Oak Titmouse","Baeolophus inornatus",2.500326492
"Olive-sided Flycatcher","Contopus cooperi",3.212456282
"Olive Sparrow","Arremonops rufivirgatus",2.500319042
"Orange-crowned Warbler","Oreothlypis celata",2.079755232
"Orchard Oriole","Icterus spurius",2.501405461
"Osprey","Pandion haliaetus",9.901877185
"Ovenbird","Seiurus aurocapilla",2.427777608
"Pacific-slope Flycatcher","Empidonax difficilis",2.031465222
"Pacific Golden-Plover","Pluvialis fulva",4.149693666
"Pacific Wren","Troglodytes pacificus",1.912086464
"Painted Bunting","Passerina ciris",2.467333191
"Palm Warbler","Setophaga palmarum",2.012091168
"Pectoral Sandpiper","Calidris melanotos",4.396025167
"Pelagic Cormorant","Phalacrocorax pelagicus",7.14754948
"Peregrine Falcon","Falco peregrinus",5.712366517
"Phainopepla","Phainopepla nitens",2.351991131
"Philadelphia Vireo","Vireo philadelphicus",2.255599547
"Pied-billed Grebe","Podilymbus podiceps",3.428296921
"Pigeon Guillemot","Cepphus columba",7.710186337
"Pileated Woodpecker","Dryocopus pileatus",4.378856859
"Pine Grosbeak","Pinicola enucleator",2.594824817
"Pine Siskin","Spinus pinus",2.353143059
"Pine Warbler","Setophaga pinus",2.060304474
"Pinyon Jay","Gymnorhinus cyanocephalus",4.625597206
"Plumbeous Vireo","Vireo plumbeus",2.303455161
"Prairie Falcon","Falco mexicanus",4.955306116
"Prairie Warbler","Setophaga discolor",2.321933109
"Prothonotary Warbler","Protonotaria citrea",2.006374883
"Purple Finch","Haemorhous purpureus",2.847863485
"Purple Gallinule","Porphyrio martinicus",2.12580627
"Purple Martin","Progne subis",2.865840726
"Purple Sandpiper","Calidris maritima",7.092913384
"Pygmy Nuthatch","Sitta pygmaea",2.593836899
"Pyrrhuloxia","Cardinalis sinuatus",5.599267088
"Razorbill","Alca torda",16.36956071
"Red-bellied Woodpecker","Melanerpes carolinus",2.670782129
"Red-breasted Merganser","Mergus serrator",5.730468376
"Red-breasted Nuthatch","Sitta canadensis",2.160160436
"Red-breasted Sapsucker","Sphyrapicus ruber",1.881848945
"Red-cockaded Woodpecker","Dryobates borealis",3.03043827
"Red-eyed Vireo","Vireo olivaceus",2.589017783
"Red-faced Cormorant","Phalacrocorax urile",7.071668074
"Red-faced Warbler","Cardellina rubrifrons",2.085432044
"Red-headed Woodpecker","Melanerpes erythrocephalus",2.651364715
"Red-naped Sapsucker","Sphyrapicus nuchalis",1.950032103
"Red-necked Grebe","Podiceps grisegena",5.626612132
"Red-shouldered Hawk","Buteo lineatus",5.553059841
"Red-tailed Hawk","Buteo jamaicensis",9.188919209
"Red-throated Loon","Gavia stellata",8.185562761
"Red-winged Blackbird","Agelaius phoeniceus",4.27953597
"Red Crossbill","Loxia curvirostra",3.161850713
"Red Knot","Calidris canutus",6.902901295
"Reddish Egret","Egretta rufescens",8.27913135
"Redhead","Aythya americana",4.194698424
"Rhinoceros Auklet","Cerorhinca monocerata",7.084329275
"Ring-billed Gull","Larus delawarensis",10.06890851
"Ring-necked Duck","Aythya collaris",3.76042376
"Ring-necked Pheasant","Phasianus colchicus",4.77330905
"Rock Pigeon","Columba livia",3.993083763
"Rock Sandpiper","Calidris ptilocnemis",4.318243167
"Rock Wren","Salpinctes obsoletus",1.985917675
"Rose-breasted Grosbeak","Pheucticus ludovicianus",2.6961497
"Roseate Spoonbill","Platalea ajaja",7.852077571
"Ross's Goose","Anser rossii",6.250561565
"Rough-legged Hawk","Buteo lagopus",7.360487325
"Royal Tern","Thalasseus maximus",10.50757482
"Ruby-crowned Kinglet","Regulus calendula",2.097204457
"Ruby-throated Hummingbird","Archilochus colubris",2.160837318
"Ruddy Duck","Oxyura jamaicensis",3.856815295
"Ruddy Turnstone","Arenaria interpres",6.151059997
"Ruffed Grouse","Bonasa umbellus",2.398076811
"Rufous-crowned Sparrow","Aimophila ruficeps",2.196889551
"Rufous Hummingbird","Selasphorus rufus",2.128899918
"Rusty Blackbird","Euphagus carolinus",2.373692921
"Sage Thrasher","Oreoscoptes montanus",2.475182001
"Sagebrush Sparrow","Artemisiospiza nevadensis",2.262258433
"Sanderling","Calidris alba",6.351770644
"Sandhill Crane","Antigone canadensis",11.45521958
"Sandwich Tern","Thalasseus sandvicensis",8.530597521
"Savannah Sparrow","Passerculus sandwichensis",2.242147407
"Say's Phoebe","Sayornis saya",2.00366952
"Scaled Quail","Callipepla squamata",2.152866308
"Scarlet Tanager","Piranga olivacea",2.390336661
"Scissor-tailed Flycatcher","Tyrannus forficatus",2.346737821
"Scott's Oriole","Icterus parisorum",3.107281677
"Seaside Sparrow","Ammospiza maritima",2.842087376
"Sedge Wren","Cistothorus platensis",2.275027239
"Semipalmated Plover","Charadrius semipalmatus",3.532632541
"Semipalmated Sandpiper","Calidris pusilla",3.918940547
"Sharp-shinned Hawk","Accipiter striatus",5.472726925
"Sharp-tailed Grouse","Tympanuchus phasianellus",2.537761556
"Short-billed Dowitcher","Limnodromus griseus",3.974131267
"Short-eared Owl","Asio flammeus",3.982087093
"Smith's Longspur","Calcarius pictus",2.743933747
"Snow Bunting","Plectrophenax nivalis",2.640707546
"Snow Goose","Anser caerulescens",8.764038712
"Snowy Egret","Egretta thula",4.106743696
"Snowy Owl","Bubo scandiacus",8.099700474
"Snowy Plover","Charadrius nivosus",3.148432375
"Solitary Sandpiper","Tringa solitaria",3.038332371
"Song Sparrow","Melospiza melodia",2.588141994
"Sooty Grouse","Dendragapus fuliginosus",3.583927834
"Sora","Porzana carolina",1.865370331
"Spotted Sandpiper","Actitis macularius",3.655805581
"Spotted Towhee","Pipilo maculatus",2.898097809
"Sprague's Pipit","Anthus spragueii",1.940463213
"Spruce Grouse","Falcipennis canadensis",3.394960462
"Steller's Eider","Polysticta stelleri",7.71950274
"Steller's Jay","Cyanocitta stelleri",4.326749528
"Stilt Sandpiper","Calidris himantopus",4.172919294
"Summer Tanager","Piranga rubra",2.529418312
"Surf Scoter","Melanitta perspicillata",5.513907439
"Surfbird","Calidris virgata",5.17868575
"Swainson's Hawk","Buteo swainsoni",8.447092745
"Swainson's Thrush","Catharus ustulatus",2.471010853
"Swainson's Warbler","Limnothlypis swainsonii",2.317199656
"Swallow-tailed Kite","Elanoides forficatus",6.56465429
"Swamp Sparrow","Melospiza georgiana",2.078270071
"Tennessee Warbler","Oreothlypis peregrina",1.862894145
"Thick-billed Murre","Uria lomvia",12.9330039
"Townsend's Solitaire","Myadestes townsendi",2.604380783
"Townsend's Warbler","Setophaga townsendi",2.378907897
"Tree Swallow","Tachycineta bicolor",2.574948263
"Tricolored Blackbird","Agelaius tricolor",3.777039139
"Tricolored Heron","Egretta tricolor",5.300525251
"Trumpeter Swan","Cygnus buccinator",9.306894418
"Tufted Titmouse","Baeolophus bicolor",2.817908958
"Tundra Swan","Cygnus columbianus",11.99546495
"Turkey Vulture","Cathartes aura",6.805193786
"Upland Sandpiper","Bartramia longicauda",3.646180638
"Varied Bunting","Passerina versicolor",2.229390891
"Varied Thrush","Ixoreus naevius",2.371356469
"Vaux's Swift","Chaetura vauxi",2.348481441
"Veery","Catharus fuscescens",2.717673017
"Verdin","Auriparus flaviceps",2.026468057
"Vermilion Flycatcher","Pyrocephalus rubinus",2.285797798
"Vesper Sparrow","Pooecetes gramineus",2.214711172
"Violet-green Swallow","Tachycineta thalassina",2.255309784
"Virginia's Warbler","Oreothlypis virginiae",1.930102826
"Virginia Rail","Rallus limicola",2.141265419
"Wandering Tattler","Tringa incana",5.4776429
"Warbling Vireo","Vireo gilvus",2.719934475
"Western Bluebird","Sialia mexicana",2.110735311
"Western Grebe","Aechmophorus occidentalis",5.331588962
"Western Gull","Larus occidentalis",12.27999724
"Western Kingbird","Tyrannus verticalis",2.646492858
"Western Meadowlark","Sturnella neglecta",2.680879929
"Western Sandpiper","Calidris mauri",4.041078866
"Western Screech-Owl","Megascops kennicottii",3.55858021
"Western Tanager","Piranga ludoviciana",2.230321436
"Western Wood-Pewee","Contopus sordidulus",2.318320776
"Whimbrel","Numenius phaeopus",6.456258669
"White-breasted Nuthatch","Sitta carolinensis",2.255599547
"White-crowned Sparrow","Zonotrichia leucophrys",2.748363144
"White-eyed Vireo","Vireo griseus",2.409588172
