"species","firstyear","Three_gen_time_used","lastyear","start_recent_trend","Difference_late_minus_early_trend","LCI_90_Difference_late_minus_early_trend","UCI_90_Difference_late_minus_early_trend","prob_decreasing_trend","long_term_trend","LCI_long_term_trend","UCI_long_term_trend","early_trend","LCI_early_trend","UCI_early_trend","late_trend","LCI_late_trend","UCI_late_trend"
"Turkey Vulture",1970,21,2019,1998,-0.1,-0.5,0.3,0.7,2.6,2.4,2.7,2.6,2.3,2.9,2.5,2.2,2.8
"Upland Sandpiper",1970,11,2019,2008,-1.5,-2.4,-0.6,1,0.7,0.5,0.9,1,0.8,1.3,-0.5,-1.3,0.3
"Varied Bunting",1993,10,2019,2009,-0.5,-4.3,2.3,0.61,1,-0.4,2.4,1.2,-0.6,3.2,0.7,-1.9,2.9
"Varied Thrush",1970,10,2019,2009,-2.8,-4.2,-1.4,1,0.7,0.2,1.2,1.2,0.6,1.9,-1.6,-2.7,-0.4
"Vaux's Swift",1970,10,2019,2009,-2.7,-4.8,-0.8,0.99,-0.7,-1.2,-0.2,-0.1,-0.7,0.5,-2.8,-4.7,-1.1
"Veery",1970,10,2019,2009,0.8,0.1,1.4,0.01,-0.8,-1,-0.7,-1,-1.1,-0.8,-0.2,-0.8,0.4
"Verdin",1970,10,2019,2009,1.4,0,3.2,0.03,-1.3,-1.7,-0.8,-1.6,-2.1,-1,-0.2,-1.4,1.4
"Vermilion Flycatcher",1970,10,2019,2009,3.5,1.2,6.2,0,1,0.6,1.5,0.3,-0.3,0.9,3.9,1.9,6.1
"Vesper Sparrow",1970,10,2019,2009,-1.3,-2,-0.7,1,-1,-1.2,-0.8,-0.7,-0.9,-0.6,-2,-2.7,-1.5
"Violet-green Swallow",1970,10,2019,2009,-2.6,-3.7,-1.6,1,-0.6,-0.9,-0.3,0,-0.4,0.3,-2.6,-3.6,-1.7
"Virginia's Warbler",1970,10,2019,2009,-1.8,-3.3,-0.4,0.99,-1.2,-1.7,-0.7,-0.8,-1.5,-0.2,-2.6,-3.8,-1.5
"Virginia Rail",1970,10,2019,2009,-0.9,-3.9,1.8,0.74,0.6,-0.1,1.2,0.8,0,1.5,-0.2,-2.7,2.3
"Warbling Vireo",1970,10,2019,2009,-1.5,-2.2,-1,1,0.8,0.6,0.9,1.1,0.9,1.3,-0.4,-1,0.1
"Western Bluebird",1970,10,2019,2009,0.2,-0.8,1.1,0.28,0.8,0.5,1.1,0.7,0.4,1,1,0.1,1.7
