"species","firstyear","Three_gen_time_used","lastyear","start_recent_trend","Difference_late_minus_early_trend","LCI_90_Difference_late_minus_early_trend","UCI_90_Difference_late_minus_early_trend","prob_decreasing_trend","long_term_trend","LCI_long_term_trend","UCI_long_term_trend","early_trend","LCI_early_trend","UCI_early_trend","late_trend","LCI_late_trend","UCI_late_trend"
"Ruddy Turnstone",1974,19,2016,1997,-0.1,-3,2.6,0.52,-4.4,-5.7,-3,-4.3,-6,-2.4,-4.4,-6.3,-2.3
"Sanderling",1974,20,2016,1996,-0.4,-2.9,1.5,0.63,-3.3,-4.2,-2.4,-3.1,-4.4,-1.7,-3.5,-5.2,-2.2
"Sandwich Tern",1970,25,2017,1992,0.6,-1,2.7,0.27,1.1,0.4,1.9,0.8,-0.4,2,1.4,0.4,2.6
"Semipalmated Plover",1974,11,2016,2005,0.3,-1.6,2.4,0.36,-0.3,-1,0.4,-0.4,-1.2,0.4,-0.1,-1.7,1.7
"Semipalmated Sandpiper",1974,12,2016,2004,3.1,-0.8,8,0.08,-2.8,-4.1,-1.5,-3.6,-5.1,-2.2,-0.5,-4.1,3.7
"Short-billed Dowitcher",1974,12,2016,2004,-2.1,-10.6,5.1,0.66,-2.4,-4.3,-0.4,-1.7,-4.3,1.1,-3.8,-10.5,1.9
"Smith's Longspur",1970,10,2017,2007,0,-4.7,4.5,0.5,0.8,-1.3,3.1,0.8,-1.3,3.4,0.8,-3.1,5.2
"Snow Bunting",1970,10,2017,2007,1.3,-1.2,5.2,0.19,-1.4,-2.5,-0.4,-1.7,-3,-0.5,-0.3,-2.6,2.9
"Snow Goose",1970,25,2016,1991,-1.2,-3.7,1.3,0.84,5.2,4.5,5.9,5.8,4.2,7.5,4.6,3.4,5.9
"Snowy Owl",1970,25,2017,1992,1.8,0,3.7,0.03,-1.3,-1.9,-0.7,-2.3,-3.5,-1.1,-0.5,-1.5,0.5
"Snowy Plover",1970,10,2017,2007,0.2,-1.5,2.3,0.4,0.4,-0.3,1.1,0.3,-0.4,1.1,0.5,-1,2.5
"Spruce Grouse",1970,11,2017,2006,-0.1,-3.5,2.9,0.53,1.5,0.2,3,1.5,0,3.2,1.4,-1.2,3.8
"Steller's Eider",1970,24,2017,1993,-1.2,-9.1,3.9,0.63,-3.3,-6.5,-0.6,-2.7,-6.7,2.1,-3.8,-8.3,-0.2
"Stilt Sandpiper",1974,13,2016,2003,-0.6,-7.1,3.4,0.54,-1.4,-2.7,0,-1.2,-2.8,1.3,-1.8,-6.3,1.3
"Surf Scoter",1970,17,2017,2000,0.2,-1.1,1.9,0.38,0.2,-0.3,0.8,0.1,-0.6,0.9,0.4,-0.8,1.6
"Surfbird",1970,16,2017,2001,0.3,-2.1,2.9,0.41,-1.4,-2.5,-0.3,-1.5,-3,-0.1,-1.2,-3,0.7
"Thick-billed Murre",1970,25,2017,1992,-1.4,-8.5,2.3,0.7,-3.1,-5.5,-1,-2.4,-5.7,2.1,-3.8,-7.3,-1.1
"Trumpeter Swan",1970,25,2015,1990,-0.3,-13.7,11.6,0.53,3.5,-7.3,16.4,3.7,-9.1,16.1,3.4,-10.4,18
"Tundra Swan",1970,25,2017,1992,0.9,-1,4.1,0.24,0.1,-0.8,1.2,-0.3,-2.2,1.1,0.6,-0.8,2.4
"Wandering Tattler",1970,17,2017,2000,-0.6,-2.9,1.4,0.72,-4.4,-5.2,-3.4,-4.2,-5.2,-2.9,-4.8,-6.5,-3
"Western Grebe",1970,16,2017,2001,1.4,-0.4,3.8,0.09,-2.6,-3.3,-1.8,-3,-4.2,-2.1,-1.7,-3,0.1
"Western Sandpiper",1970,13,2017,2004,0.1,-2,2.3,0.45,-0.3,-1.2,0.6,-0.3,-1.3,0.7,-0.2,-1.9,1.8
"Whimbrel",1974,20,2016,1996,-4.2,-8.1,-0.1,0.98,-2.1,-3.3,-0.9,0,-2.1,2.2,-4.2,-6.7,-1.7
"White-rumped Sandpiper",1974,11,2016,2005,-0.6,-4.2,2.4,0.66,1,-0.3,2.6,1.2,-0.3,2.8,0.6,-2.5,3.3
"White-winged Scoter",1970,18,2017,1999,0.2,-2.9,4.2,0.44,-0.3,-1.9,1.1,-0.4,-2.2,1.3,-0.2,-2.7,2.7
"Wilson's Plover",1970,12,2017,2005,5.2,0.9,10.7,0.01,-1.5,-2.7,-0.3,-2.8,-4,-1.6,2.4,-1.5,7.2
"Yellow-billed Loon",1970,25,2017,1992,0.1,-2.2,2.5,0.45,-3.1,-4.2,-2,-3.2,-4.7,-1.5,-3,-4.5,-1.5
